Quality_Category,density,pH,sulphates,alcohol
Low,0.997,3,0.45,10
Low,0.992,3,0.45,10.3
Low,0.991,3,0.67,10.8
Low,0.992,3,0.38,10.5
Low,0.991,3,0.67,10.8
Low,0.991,3,0.43,11.1
Low,0.995,3,0.41,9.9
Low,0.995,3,0.41,9.9
Low,0.995,3,0.41,9.9
Low,0.995,3,0.41,9.9
High,0.993,3,0.42,10.4
Low,0.993,3,0.41,10.4
High,0.992,3,0.71,11.5
High,0.992,4,0.51,12.5
Low,0.995,3,0.45,10
Low,0.994,3,0.63,10
Low,0.994,3,0.62,10
Low,0.993,3,0.44,9.1
Low,0.993,3,0.38,10.6
Low,0.994,3,0.37,10.5
High,0.993,4,0.43,11.5
Low,0.993,4,0.59,10.1
High,0.993,4,0.61,10.3
Low,0.994,3,0.37,10.5
Low,0.993,3,0.38,10.6
Low,0.995,3,0.36,10.4
Low,0.993,3,0.55,11.4
Low,0.995,3,0.59,10.5
Low,0.998,3,0.6,10
Low,0.994,3,0.65,10
Low,0.998,3,0.5,9.6
Low,0.992,3,0.51,10.4
High,0.991,3,0.6,12.5
Low,0.993,3,0.39,10.6
Low,0.991,3,0.4,11.8
Low,0.995,3,0.44,9.8
Low,0.992,3,0.38,10.8
Low,0.991,3,0.4,11.8
Low,0.991,3,0.42,11.2
Low,0.997,3,0.42,9.3
Low,0.995,3,0.53,10.4
High,0.993,3,0.85,10.2
High,0.996,3,0.55,9
Low,0.995,3,0.54,10
Low,0.996,3,0.47,9.1
Low,0.993,3,0.76,10
Low,0.993,3,0.75,10
Low,0.994,3,0.4,9.6
High,0.991,3,0.51,11.2
Low,1,3,0.44,8.8
Low,0.998,3,0.5,10
Low,0.997,3,0.47,10
High,0.991,3,0.74,11.4
High,0.992,3,0.3,11.9
Low,0.992,3,0.51,9.6
High,0.992,3,0.3,11.9
Low,0.994,3,0.57,9.6
Low,0.998,3,0.38,9
Low,0.998,3,0.38,9
Low,0.993,3,0.78,9.5
Low,0.994,3,0.42,10.4
Low,0.994,3,0.59,10.6
Low,0.997,3,0.5,10.2
Low,0.994,3,0.43,8.9
Low,0.994,3,0.39,9.7
Low,0.998,3,0.38,9
High,0.992,3,0.42,11.4
High,0.991,3,0.71,12.3
Low,0.992,3,0.62,10.8
Low,0.993,3,0.45,9.4
Low,0.993,3,0.64,10.6
Low,0.994,3,0.29,11.6
Low,0.993,3,0.45,9.4
Low,0.993,3,0.64,10.6
Low,0.993,3,0.56,10
Low,0.994,3,0.51,9.2
High,0.989,4,0.38,12.5
High,0.989,4,0.38,12.5
High,0.992,3,0.51,10.4
High,0.992,3,0.46,10
Low,0.993,3,0.64,10
High,0.992,3,0.51,10.4
High,0.992,3,0.46,10
Low,0.998,3,0.52,9
Low,0.997,3,0.53,9.2
Low,0.994,3,0.51,9.2
High,0.991,3,0.39,11.3
High,0.989,4,0.38,12.5
High,0.991,3,0.39,10.8
Low,0.994,3,0.66,10.1
Low,0.995,3,0.46,9.7
High,0.998,3,0.61,9.3
High,0.998,3,0.61,9.3
Low,0.992,3,0.46,10.6
Low,0.996,3,0.47,10.2
Low,0.99,3,0.56,12.2
Low,0.998,3,0.44,8.8
Low,0.992,3,0.41,10
Low,0.992,3,0.39,11.4
Low,0.992,3,0.5,11.4
Low,0.999,3,0.44,9.4
Low,0.991,3,0.41,11.7
Low,0.992,3,0.5,11.4
Low,0.998,3,0.44,8.8
Low,0.993,3,0.52,9.2
Low,1,3,0.56,8.7
Low,0.992,3,0.66,12.6
Low,0.992,3,0.41,10
High,0.99,3,0.39,12.8
Low,0.993,3,0.51,9.4
Low,0.992,3,0.53,10.3
Low,0.992,3,0.39,11.4
Low,1,3,0.47,9
Low,0.998,3,0.79,9.6
Low,0.992,3,0.5,10.5
Low,0.992,3,0.5,10.5
Low,1,3,0.47,9
Low,0.998,3,0.79,9.6
Low,0.993,3,0.33,9.8
Low,0.996,3,0.47,9
Low,0.993,3,0.33,9.8
Low,0.993,3,0.56,10.5
High,0.99,3,0.37,12.7
Low,0.995,3,0.54,10.4
Low,0.995,3,0.54,10.4
Low,0.995,3,0.54,10.4
High,0.995,3,0.52,10.5
Low,0.995,3,0.54,10.4
Low,0.995,3,0.54,10.4
Low,0.997,3,0.45,9.4
Low,0.994,3,0.46,9.1
Low,0.998,3,0.49,9.3
Low,0.997,3,0.45,9.4
Low,0.993,3,0.38,9.8
High,0.993,3,0.61,9.9
Low,0.994,3,0.57,9.2
High,0.992,3,0.47,12.1
High,0.992,3,0.49,12.2
Low,0.994,3,0.6,9.8
High,0.991,3,0.64,12.4
High,0.993,3,0.61,9.9
Low,0.993,3,0.54,9.2
High,0.991,3,0.59,11.6
Low,0.994,3,0.69,10.4
High,0.99,3,0.65,12.9
Low,0.998,3,0.54,9.3
Low,0.998,3,0.33,11
Low,0.994,3,0.4,11.5
Low,0.991,4,0.42,12.4
Low,0.998,3,0.53,9.8
Low,0.998,3,0.53,9.8
High,0.993,3,0.56,10.5
Low,0.997,3,0.54,9.1
Low,0.992,3,0.44,10.1
High,0.993,3,0.51,10.6
High,0.992,3,0.51,10.5
High,0.993,3,0.56,10.5
Low,0.998,3,0.53,9.8
High,0.989,3,0.4,12.9
Low,0.996,3,0.52,9.5
Low,0.992,3,0.72,9.8
Low,0.997,3,0.5,8.5
Low,0.996,3,0.52,9.5
Low,0.998,3,0.45,9.3
Low,0.997,3,0.38,9.5
Low,0.993,3,0.39,9.4
Low,0.998,3,0.5,8.7
Low,0.996,3,0.46,8.9
Low,0.996,3,0.43,9.4
Low,0.993,3,0.39,9.4
Low,0.998,3,0.5,8.7
Low,0.999,3,0.52,9.6
Low,0.998,3,0.73,9.3
Low,0.994,3,0.76,10
Low,0.99,3,0.45,12.5
High,0.994,3,0.48,9.6
Low,0.994,3,0.36,9.4
Low,0.997,3,0.61,9.5
High,0.989,3,0.39,12.4
Low,0.993,3,0.55,10.5
Low,0.994,3,0.58,9.2
Low,0.993,3,0.56,10.4
Low,0.996,3,0.6,9.2
Low,0.992,3,0.51,10.6
Low,0.997,3,0.42,9.5
Low,0.996,3,0.6,9.2
Low,0.995,3,0.58,9.6
Low,0.993,3,0.54,9.7
Low,0.993,3,0.51,9.7
Low,0.992,3,0.42,10.7
Low,0.994,3,0.68,10.5
Low,0.996,3,0.45,8.9
Low,0.99,3,0.46,12.1
High,0.99,3,0.4,12.7
Low,0.996,3,0.46,9.9
Low,0.991,3,0.64,11.4
Low,0.994,3,0.58,10.7
Low,0.991,3,0.48,12.5
Low,0.998,3,0.49,8.6
Low,0.99,3,0.54,12.5
Low,0.992,3,0.66,10
Low,0.998,3,0.49,8.6
Low,0.999,3,0.49,9.5
Low,0.998,3,0.48,9.6
Low,0.994,3,0.62,9.9
Low,0.994,3,0.62,9.9
Low,0.998,3,0.53,8.9
Low,0.998,3,0.53,8.9
Low,0.994,3,0.52,8.8
High,0.994,4,0.54,10
Low,0.991,3,0.44,12
High,0.994,4,0.54,10
Low,0.992,3,0.42,10
Low,0.991,3,0.41,12.1
Low,0.993,3,0.59,11
Low,0.992,3,0.33,11.2
High,0.995,3,0.39,10.3
Low,0.993,3,0.47,10.4
Low,0.993,3,0.45,9.1
Low,0.992,3,0.6,10.4
Low,0.992,3,0.64,10.8
Low,0.994,3,0.4,11.7
Low,0.994,3,0.74,9.8
Low,0.994,3,0.74,9.8
Low,0.99,3,0.39,11.4
Low,0.99,3,0.38,11.2
Low,0.99,3,0.34,11.4
Low,0.993,3,0.45,9.2
Low,0.991,3,0.53,12.5
Low,0.99,3,0.44,12.6
Low,0.99,3,0.35,12.2
Low,0.992,4,0.45,11.2
Low,0.995,3,0.79,9.7
Low,0.995,3,0.4,9.3
Low,0.998,3,0.48,9
Low,0.998,3,0.48,9
Low,0.998,3,0.48,9
Low,0.999,3,0.51,9.1
Low,0.999,3,0.51,9.1
Low,0.998,3,0.48,9
Low,0.992,3,0.54,10.4
Low,0.996,3,0.67,9.5
Low,0.995,3,0.55,11.4
Low,0.998,3,0.42,8.7
Low,0.992,3,0.68,9.9
Low,0.995,3,0.62,9.9
Low,0.998,3,0.51,9
Low,0.993,3,0.58,10
Low,0.996,3,0.64,9.7
Low,0.992,3,0.49,11.8
High,0.993,3,0.5,10.2
Low,0.998,3,0.42,8.7
High,0.998,3,0.52,9.6
High,0.992,3,0.37,11.3
High,0.99,3,0.38,12.1
High,0.998,3,0.52,9.6
High,0.99,3,0.38,12.1
High,0.992,3,0.37,11.3
Low,0.998,3,0.65,9.4
Low,0.993,3,0.5,10.4
Low,0.997,3,0.39,9.5
Low,0.991,3,0.76,12.3
High,0.995,3,0.74,9.9
Low,0.992,3,0.48,10.1
Low,0.997,3,0.63,9.2
High,0.993,3,0.77,10.4
Low,0.995,3,0.42,9.1
Low,0.997,3,0.47,10
Low,0.994,3,0.39,11.5
Low,0.993,3,0.61,9.8
Low,0.993,3,0.6,9.8
Low,0.995,3,0.69,9.4
Low,0.998,3,0.46,8.7
High,0.991,3,0.41,11.6
Low,0.999,3,0.56,8.8
High,0.99,3,0.39,12.7
High,0.991,3,0.44,11.7
Low,0.993,3,0.5,10.2
Low,0.993,3,0.5,10.2
High,0.99,3,0.38,12.7
High,0.991,3,0.41,11.6
High,0.991,3,0.38,12.3
Low,0.998,3,0.46,8.7
Low,0.994,3,0.39,9.4
Low,0.995,3,0.35,10.1
Low,0.995,3,0.36,9.7
High,0.993,3,0.51,10.1
Low,0.995,3,0.36,9.7
Low,0.996,3,0.48,8.9
High,0.992,3,0.5,10.8
High,0.993,3,0.49,10.8
Low,0.995,3,0.58,9.5
Low,0.998,3,0.44,9.1
Low,0.992,3,0.49,10.9
Low,0.997,3,0.52,9.4
Low,0.991,3,0.28,10.8
Low,0.99,3,0.29,10.8
High,0.993,3,0.5,10.5
Low,0.997,3,0.52,9.4
Low,0.993,3,0.44,10.8
High,0.995,3,0.48,10.5
High,0.991,3,0.68,11.5
Low,0.994,3,0.54,9.4
Low,0.991,3,0.38,10.8
Low,0.991,3,0.28,10.8
Low,0.99,3,0.29,10.8
Low,0.992,3,0.61,9.8
Low,0.992,3,0.61,9.8
Low,0.997,3,0.38,9.6
Low,0.997,3,0.38,9.6
Low,0.999,3,0.48,9.5
Low,0.997,3,0.69,10.7
High,0.991,3,0.65,12.4
Low,0.992,3,0.39,11.1
Low,0.998,3,0.38,8.8
Low,0.998,3,0.36,8.7
Low,0.998,3,0.36,8.7
Low,0.998,3,0.38,8.8
High,0.991,3,0.65,11.7
Low,0.993,3,0.5,10.9
Low,0.993,3,0.5,10.8
Low,0.993,3,0.5,9.6
Low,0.999,3,0.58,9
Low,0.997,3,0.5,9
Low,0.994,3,0.6,10.4
Low,0.991,3,0.51,11.4
Low,0.993,3,0.55,9.3
High,0.995,3,0.46,11
Low,0.998,3,0.45,9.1
Low,0.996,3,0.62,9.4
Low,0.996,3,0.62,9.4
Low,0.992,3,0.6,10.5
Low,1,3,0.42,8.8
Low,1,3,0.42,8.8
Low,0.994,3,0.64,10.7
Low,0.997,3,0.42,9.5
Low,0.993,3,0.49,10.9
Low,0.993,3,0.51,10.8
High,0.993,3,0.46,10.8
Low,0.998,3,0.62,9.2
Low,0.994,3,0.71,10.3
Low,0.994,3,0.71,10.3
High,0.991,3,0.5,11
Low,0.998,3,0.43,9
Low,0.997,3,0.5,10.4
Low,0.997,3,0.45,9.5
Low,0.997,3,0.45,9.5
Low,0.996,3,0.41,9
Low,0.993,3,0.57,9.5
Low,0.997,3,0.37,9
Low,0.994,3,0.72,10
High,0.999,3,0.53,9.1
High,0.999,3,0.53,9.1
High,0.999,3,0.53,9.1
High,0.999,3,0.53,9.1
Low,0.997,3,0.45,9.5
High,0.992,3,0.75,11.4
Low,0.992,3,0.42,12.2
Low,0.993,3,0.4,11.3
Low,0.994,3,0.44,10.2
Low,0.992,3,0.4,11.3
Low,0.992,3,0.47,10
Low,0.993,3,0.38,9.4
High,0.995,3,0.5,12.2
Low,0.997,3,0.47,9.2
Low,0.993,3,0.38,9.4
Low,0.996,3,0.52,9.6
Low,0.994,3,0.48,9.5
Low,0.991,3,0.72,12.5
Low,0.996,3,0.52,9.6
Low,0.993,3,0.46,10
Low,0.997,3,0.57,9.3
Low,0.997,3,0.55,9.3
Low,0.991,3,0.57,11.6
High,0.995,3,0.5,12.5
Low,0.993,3,0.63,10.6
Low,0.997,3,0.6,9.4
Low,0.996,3,0.4,9.1
Low,0.998,3,0.41,9
High,0.991,3,0.42,11.8
High,0.991,3,0.42,11.8
High,0.991,3,0.42,11.8
Low,0.992,3,0.39,10
Low,0.993,3,0.47,9.7
Low,0.997,3,0.44,9.5
Low,0.995,3,0.48,9.4
Low,0.992,3,0.42,11.2
Low,0.998,3,0.46,9
High,0.994,3,0.53,10.7
Low,0.998,3,0.67,9
Low,0.997,3,0.5,9.1
High,0.992,3,0.6,10.8
Low,0.994,3,0.6,10.1
Low,0.994,3,0.62,9.9
Low,0.994,3,0.62,9.8
Low,0.994,3,0.63,9.8
Low,1,3,0.66,9.5
Low,0.998,3,0.46,9.5
Low,0.991,3,0.57,11.1
Low,0.998,3,0.6,9.5
Low,0.998,3,0.6,9.5
Low,0.998,3,0.59,9.4
Low,0.998,3,0.64,9.7
High,0.989,3,0.78,13.9
Low,0.993,3,0.45,10.1
Low,0.992,3,0.42,10.5
Low,0.99,3,0.5,12.6
Low,0.993,3,0.34,10.9
Low,0.994,3,0.6,10
Low,0.994,3,0.62,11.2
Low,0.999,3,0.48,10
Low,0.993,3,0.46,9.2
Low,0.998,3,0.45,9.5
Low,0.992,3,0.5,12.3
Low,0.992,3,0.5,12.3
Low,0.995,3,0.43,10
Low,0.993,3,0.5,10.8
High,0.993,3,0.71,10.5
Low,0.997,3,0.61,9.2
Low,1,3,0.5,9.1
High,0.993,3,0.71,10.5
High,0.994,3,0.5,10.2
Low,0.997,3,0.45,8.9
Low,0.995,4,0.52,10.4
Low,0.992,3,0.47,11.7
High,0.99,3,0.44,12.4
High,0.991,3,0.39,10.9
Low,0.992,3,0.46,10.2
High,0.992,3,0.66,11.7
Low,0.995,3,0.59,9.4
Low,0.995,3,0.47,10.5
Low,0.992,3,0.62,9.4
Low,0.997,3,0.56,10.4
Low,0.997,3,0.47,9.5
High,0.993,3,0.33,11.1
Low,0.998,3,0.5,9.1
Low,0.997,3,0.61,9.2
Low,0.995,3,0.49,9.6
Low,0.998,3,0.5,9.1
Low,0.997,3,0.61,9.2
High,0.992,3,0.39,10.8
Low,0.995,3,0.49,9.6
Low,0.992,3,0.37,12.6
Low,0.991,3,0.55,11
Low,0.993,3,0.61,10.2
Low,0.998,3,0.43,9.4
Low,0.995,3,0.43,10
Low,0.992,3,0.55,12.2
Low,0.995,3,0.56,10.5
Low,0.993,3,0.32,11.5
Low,0.996,3,0.54,9.8
Low,0.993,3,0.32,11.4
Low,0.993,3,0.32,11.5
Low,0.996,3,0.55,10.2
Low,0.999,3,0.5,9.4
Low,0.995,3,0.56,10.5
Low,0.993,3,0.5,9.1
High,0.991,3,0.48,12.2
Low,0.998,3,0.43,9.5
Low,0.999,3,0.85,9.3
High,0.993,3,0.96,9.8
High,0.993,3,0.97,9.8
Low,0.996,3,0.54,9.8
Low,0.996,3,0.54,9.8
Low,1.001,3,0.56,8.7
Low,0.999,3,0.57,10.2
Low,0.995,3,0.69,9.5
Low,0.992,3,0.46,11
Low,0.999,3,0.44,9.2
Low,0.992,3,0.6,10.9
High,0.996,3,0.4,9.3
High,0.996,3,0.4,9.3
High,0.994,3,0.46,9.8
High,0.993,3,0.39,9.3
High,0.993,3,0.39,9.3
Low,1,3,0.45,9.4
High,0.997,3,0.46,10.4
Low,0.992,3,0.58,12.1
Low,0.992,3,0.56,11
Low,0.999,3,0.53,9
High,0.999,3,0.82,9.5
High,1.001,3,0.75,8.8
Low,0.991,3,0.38,11.2
Low,0.997,3,0.61,9.3
High,0.999,3,0.82,9.5
High,1.001,3,0.75,8.8
Low,0.999,3,0.53,9
Low,0.998,3,0.3,9.3
Low,0.998,3,0.29,9.2
Low,0.998,3,0.29,9.2
High,0.995,3,0.45,10
Low,0.998,3,0.3,9.3
Low,0.998,3,0.29,9.2
High,0.992,3,0.69,10.9
Low,0.994,3,0.56,10
High,0.992,3,0.69,10.9
Low,0.993,3,0.52,9.3
Low,0.996,3,0.43,9
Low,0.997,3,0.58,9.2
Low,0.998,3,0.77,9.6
Low,0.994,3,0.4,9.4
High,0.991,3,0.58,11.1
Low,0.998,3,0.41,8.9
Low,0.995,3,0.47,9.3
Low,0.998,3,0.53,9.3
High,0.998,3,0.44,9.8
Low,0.995,3,0.46,9.8
Low,0.998,3,0.41,8.9
Low,0.998,3,0.41,9.6
Low,0.997,3,0.41,9.6
Low,0.998,3,0.38,9
Low,0.998,3,0.43,9.5
Low,0.995,3,0.47,9.3
Low,0.993,3,0.56,9.2
High,0.994,3,0.5,9.1
Low,1,3,0.46,9.5
Low,0.998,3,0.59,10.5
Low,0.994,3,0.46,9
Low,0.994,3,0.52,11.7
Low,0.997,3,0.51,9.1
Low,0.994,3,0.46,9
Low,0.997,3,0.51,9.1
High,0.99,3,0.61,12.4
Low,0.997,3,0.58,9.2
Low,0.994,3,0.43,9.4
Low,0.995,3,0.43,9.6
Low,0.994,3,0.52,11.7
Low,0.996,3,0.56,9.8
Low,0.996,3,0.59,10.2
High,0.991,3,0.48,12.5
High,0.996,3,0.44,10.9
High,0.993,3,0.42,11
Low,0.996,4,0.69,10.5
Low,0.994,3,0.62,11.5
High,0.991,3,0.53,12.8
Low,0.99,3,0.44,12.2
Low,0.996,4,0.69,10.5
High,0.992,3,0.45,12.8
High,0.991,3,0.4,11.9
High,0.991,3,0.4,11.9
High,0.991,3,0.4,11.9
High,0.992,3,0.39,12
High,0.992,3,0.39,12
High,1,3,0.47,8.8
High,1,3,0.47,8.8
High,0.993,3,0.54,10.8
High,0.992,3,0.5,11
High,0.992,3,0.5,11
Low,0.998,3,0.4,9.3
